reading_id,reading_name,distance_cm
1,reading_0001,41.3
2,reading_0002,41.2
3,reading_0003,43.5
4,reading_0004,40.7
5,reading_0005,39.5
6,reading_0006,41.8
7,reading_0007,41.3
8,reading_0008,40.4
9,reading_0009,43.9
10,reading_0010,40.0
11,reading_0011,42.9
12,reading_0012,40.4
13,reading_0013,43.6
14,reading_0014,44.9
15,reading_0015,43.1
16,reading_0016,41.2
17,reading_0017,48.3
18,reading_0018,44.3
19,reading_0019,42.5
20,reading_0020,44.7
21,reading_0021,41.8
22,reading_0022,44.3
23,reading_0023,46.6
24,reading_0024,42.8
25,reading_0025,45.6
26,reading_0026,47.7
27,reading_0027,49.1
28,reading_0028,46.5
29,reading_0029,41.9
30,reading_0030,45.6
31,reading_0031,41.1
32,reading_0032,43.3
33,reading_0033,44.6
34,reading_0034,44.0
35,reading_0035,43.1
36,reading_0036,39.6
37,reading_0037,46.4
38,reading_0038,41.1
39,reading_0039,46.2
40,reading_0040,48.2
41,reading_0041,41.6
42,reading_0042,44.2
43,reading_0043,40.6
44,reading_0044,42.8
45,reading_0045,42.9
46,reading_0046,43.8
47,reading_0047,43.3
48,reading_0048,44.7
49,reading_0049,40.2
50,reading_0050,38.9
51,reading_0051,42.7
52,reading_0052,43.5
53,reading_0053,44.1
54,reading_0054,40.1
55,reading_0055,44.2
56,reading_0056,39.5
57,reading_0057,41.4
58,reading_0058,43.5
59,reading_0059,40.3
60,reading_0060,46.6
61,reading_0061,37.6
62,reading_0062,38.3
63,reading_0063,40.1
64,reading_0064,41.5
65,reading_0065,40.0
66,reading_0066,39.8
67,reading_0067,40.8
68,reading_0068,39.2
69,reading_0069,41.0
70,reading_0070,36.3
71,reading_0071,36.9
72,reading_0072,42.8
73,reading_0073,41.0
74,reading_0074,38.9
75,reading_0075,38.0
76,reading_0076,44.3
77,reading_0077,37.6
78,reading_0078,38.4
79,reading_0079,37.1
80,reading_0080,38.9
81,reading_0081,39.5
82,reading_0082,39.4
83,reading_0083,38.0
84,reading_0084,41.2
85,reading_0085,39.5
86,reading_0086,40.3
87,reading_0087,75
88,reading_0088,38.2
89,reading_0089,39.6
90,reading_0090,40.0
91,reading_0091,41.7
92,reading_0092,35.9
93,reading_0093,39.3
94,reading_0094,37.1
95,reading_0095,38.1
96,reading_0096,42.7
97,reading_0097,35.9
98,reading_0098,39.3
99,reading_0099,35.0
100,reading_0100,41.0
101,reading_0101,37.2
102,reading_0102,38.5
103,reading_0103,38.3
104,reading_0104,37.1
105,reading_0105,43.3
106,reading_0106,41.8
107,reading_0107,44.9
108,reading_0108,40.7
109,reading_0109,38.6
110,reading_0110,41.4
111,reading_0111,41.7
112,reading_0112,40.7
113,reading_0113,40.0
114,reading_0114,44.5
115,reading_0115,44.9
116,reading_0116,43.2
117,reading_0117,45.5
118,reading_0118,39.9
119,reading_0119,44.0
120,reading_0120,44.9
121,reading_0121,45.1
122,reading_0122,44.1
123,reading_0123,41.8
124,reading_0124,43.6
125,reading_0125,43.9
126,reading_0126,44.9
127,reading_0127,43.4
128,reading_0128,43.4
129,reading_0129,46.4
130,reading_0130,44.8
131,reading_0131,37.5
132,reading_0132,44.9
133,reading_0133,43.1
134,reading_0134,44.1
135,reading_0135,49.0
136,reading_0136,43.9
137,reading_0137,44.6
138,reading_0138,41.8
139,reading_0139,46.1
140,reading_0140,43.0
141,reading_0141,46.2
142,reading_0142,42.8
143,reading_0143,44.0
144,reading_0144,40.3
145,reading_0145,42.2
146,reading_0146,43.8
147,reading_0147,43.6
148,reading_0148,45.8
149,reading_0149,44.7
150,reading_0150,40.4
151,reading_0151,39.2
152,reading_0152,39.0
153,reading_0153,42.2
154,reading_0154,41.1
155,reading_0155,37.6
156,reading_0156,41.0
157,reading_0157,43.7
158,reading_0158,36.2
159,reading_0159,40.5
160,reading_0160,37.4
161,reading_0161,39.1
162,reading_0162,38.2
163,reading_0163,38.8
164,reading_0164,35.9
165,reading_0165,38.0
166,reading_0166,38.4
167,reading_0167,34.3
168,reading_0168,36.6
169,reading_0169,38.8
170,reading_0170,36.2
171,reading_0171,36.4
172,reading_0172,32.1
173,reading_0173,35.0
174,reading_0174,40.3
175,reading_0175,34.0
176,reading_0176,35.9
177,reading_0177,34.0
178,reading_0178,34.1
179,reading_0179,40.3
180,reading_0180,31.6
181,reading_0181,37.4
182,reading_0182,36.9
183,reading_0183,34.6
184,reading_0184,31.3
185,reading_0185,34.2
